,information,group,target,doc_id
0,"ваз 21213   замена подшипник ступица   нива 
",1,0,15731
1," ваз 2107 опт  сочи  сравнивать цена  купить потребительский товар  tiu  
",1,0,14829
2,"купить ступица лад калина2  трансмиссия   переходный ступица цена  замена  тюнинг  
",1,0,15764
3,"классика 21010   21074 
",1,0,17669
4,"ступица нива   замена подшипник свой рука 
",1,0,14852
5,"ваз 2110 
",1,0,15458
6,"обзор подшипник полуось ваз 2101 07  2121 2123 
",1,0,14899
7,"купить подшипник  ступица fag  страница 23  
",1,0,16879
8," horsepowers   автомобильный интернет портал   отзыв владелец ваз 2121 нива 2007 год   
",1,0,16310
9,"новость  сообщение  официальный группа вконтакте торговый компания 33 sport   магазин   тольятти 
",1,0,15440
10,"инструкция  замена подшипник передняя ступица ивеко дейли  dorognoekam  
",1,0,16242
11,"ступица   olx ua   страница 80 
",1,0,16383
12,"маааленькая проблемка   бортжурнал авток 2160   1994 год  drive2 
",1,0,15580
13,"разгружать полуось  нива  24 шлиц 765 мм  
",1,0,16840
14,"прошивка  нива м7 9 7 скачать   файлообменник emqraty6 foxkirov  
",1,0,17519
15,"страница 6  раздел  каталог   подвеска 
",1,0,15185
16,"продавать нива 2121 
",1,0,15016
17,"рекомендация  проведение независимый экспертиза  осаго  
",1,0,17796
18," втулка подшипник  омск  сравнивать цена  поставщик промышленный товар  tiu  
",1,0,17507
19,"шевроле блейзер елабуга руководство  эксплуатация   инструкция  совет 
",1,0,16929
20," привод  шрус  пыльник шрусый    страница 3 
",1,0,17389
21,"автомобиль маз  калининград  интернет магазин  компания  стоимость  каталог  купить автомобиль маз  цена  сайт propartner  
",1,0,16272
22," ваз 2103  украина  сравнивать цена  купить потребительский товар  prom ua  стр  86 
",1,0,16057
23,"купить подшипник  цена   1 000 руб   киров  магазин город  страница 5 
",1,0,15641
24,"купить запчасть  ваз  воронеж   доска объявление камелот 
",1,0,17356
25,"опора передний амортизатор    выбирать    подвеска 
",1,0,15222
26,"подшипник лада  ваз  красноярск 
",1,0,16105
27," автозапчасть   тендер  торги  закупка   национальный тендерный портал tenderguru  
",1,0,17781
28,"замена  регулировка передний ступичный подшипник нива   нива ремонт 
",1,1,15763
29,"разборка передний тормозной механизм   ваз 21213  нива  
",1,0,15556
30,"вс    коробка передача    бортжурнал fiat albea алька 2008 год  drive2 
",1,0,16178
31,"продажа ваз нива 2121 2011 год  курган  продавать lada 4x4  нива   отличный технический состояние  обмен   дорогой   равноценный    дешевый  4wd 
",1,0,17639
32,"ваз 2108 
",1,0,17105
33,"интернет магазин ооо автокомпас 
",1,0,15068
34," заменять подшипник ступица передний колесо ваз 2121 
",1,1,17176
35,"развал ступица   яплакать 
",1,0,17240
36,"нужный помощь   подвеска 
",1,0,14999
37,"запчасть ваз  газ  заз  москвич  авто мото литература  газ  волга   
",1,0,15217
38,"снятие  установка подшипник ступица нива 2121  нива 2131 
",1,1,15613
39,"ваз 2104 
",1,0,15942
40,"подшипник olimac drago dr7080  6307 2rs   цена 1 грн  доставка  полтавский обл   zakupka   
",1,0,16072
41," снимать ступица  ваз 2121 нива    youtube 
",1,1,16052
42,"замена подшипник ступица  ваз 21213  21214  нива  
",1,0,17819
43,"uaz patriot   брать   брать  faq    форум клуб patriot 4x4 
",1,0,17339
44,"каталог запчасть    интернет тв 
",1,0,17135
45,"опрос  помогать выбирать заз chance  vortex estina  б  kia spectra   страница 10   форум wroom  
",1,0,17733
46," вал привод ваз 2121 нива  харьков  сравнивать цена  купить потребительский товар  prom ua 
",1,0,15631
47,"лада нива 2121 1997  новокузнецк  двигатель  кап  ремонт 6000км  4wd  коробка механический  бензин 
",1,0,15558
48,"jf stoll джи эф штоль 
",1,0,16650
49,"сборка поворотный кулак  ступица  нива 2121 2123   автомобиль  автомобильный хозяйство  автосервис    чертеж  масштаб ру 
",1,0,15114
50,"техношин   подшипник  новокузнецк 
",1,0,16598
51,"автозапчасть ваз    олми сервис  
",1,0,15835
52,"ступица купить  винницкий область  интернет магазин  низкий цена  большой каталог  быстрый доставка  ступица   фото  отзыв 
",1,0,15564
53,"купить лада 4x4 2121 нива 2010  новый уренгой  полный шумоизоляция  электро котел  подножка усиливать  прицепной устройство  бензин  бордовый  пробег 76000 км 
",1,0,15430
54,"av autotechnik 
",1,0,15555
55,"снятие задний ступичный подшипник 
",1,0,15820
56,"весь изображение  ступица ваз 2106  сбор    picsbase  
",1,0,15817
57,"блог   автомобильный клуб   кулибинск клуб 
",1,0,17336
58,"купить подшипник ступица газель next передняя   цена  3 061 35 р    арт  а21r23 3103145   интернет магазин  новосибирск  
",1,0,17835
59," смазывать ступичный подшипник  нива шевроле видео   avtoservis sobol 
",1,0,16627
60,"средство  уход  автомобиль купить  скидка  кострома  
",1,0,16786
61,"купить подшипник   180314  6314 2rs  ct  полтава  цена 201 34 грн  zakupka   
",1,0,15642
62,"двигатель 
",1,0,17652
63," поменять подшипник ступица нива шевроле видео 
",1,1,16595
64,"подшипник маховик газ 3110  3302 дв 406  дв cummins   мета крышка   6203  кпк   газ деталь машина пятигорск  каталог автозапчасть газ  ваз  уаз  lada деталь  
",1,0,15233
65,"нива подшипник ступица  21213103020 купить  нижний новгород 
",1,0,17478
66,"подшипник  автомобиль  спецтехника vbf купить  украина  интернет магазин  низкий цена  большой каталог  быстрый доставка  подшипник  автомобиль  спецтехника vbf   фото  отзыв 
",1,0,16367
67,"       ниваклуб   новосибирск          просмотр тема   подготовка машина  зима  
",1,0,14961
68," нива 2121  тольятти  сравнивать цена  купить потребительский товар  tiu   стр  13 
",1,0,15400
69,"задний ступица n16  2000г     nissan almera ii  n16    mdash  nissan almera  клуб нисан альмера 
",1,0,15890
70,"чертеж 
",1,0,15655
71,"ремонт ваз 2131 свой рука  ремонт ваз свой рука  remontysvoimirukami  
",1,0,15578
72,"глухой периодичный стук справа 
",1,0,16565
73,"ваз 2121   страница 5   форум клуб ваз 2104 
",1,0,16124
74," ступица  нижний тагил  сравнивать цена  купить потребительский товар  tiu   стр  4 
",1,0,15106
75,"замена воздушный фильтр  ваз 2108  2109  21099  видео   ремонт авто свой рука  видео  руководство  ремонт 
",1,0,15690
76," колпачок ступица ваз 2110  2170  компания z24 купить  санкт петербург  
",1,0,15934
77," подшипник ступица ваз 2101 kraft  компания z24 купить  санкт петербург  
",1,0,15968
78,"подшипник mannol 
",1,0,15154
79," заменять передний ступичный подшипник  нива шевроле  нива 
",1,0,17077
80," купить мкпп ваз  лада   сочи  сравнивать цена  мкпп ваз  лада   сочи    портал blizko  
",1,0,17716
81,"renault symbol  ваш мнение   форум wroom  
",1,0,16683
82,"простой разборка ступица нива   ремонт 
",1,1,15498
83,"потребительский товар   ваз 2106  беларусь  сравнивать цена  купить потребительский товар  deal  
",1,0,15943
84,"замена подшипник передняя ступица нива 21213 
",1,1,16818
85," pajero4x4    просмотр тема   безрезультатный сход развал 
",1,0,16352
86,"колхоз давать делиться    колхозил  p10      nissan primera p10   вконтакте 
",1,0,17690
87,"страница 103   автокомпектующий  запчасть   прочее 
",1,0,16487
88," подшипник полуось  украина  сравнивать цена  купить потребительский товар  prom ua  стр  3 
",1,0,16295
89,"купить lada  ваз  2121  4x4   пробег  омск    2001 год  цена 130 000 рубль   авто ру 
",1,0,16233
90,"промышленный  оптовый товар   крестовина  омск  сравнивать цена  поставщик промышленный товар  tiu  
",1,0,15678
91,"ваз 2111 
",1,0,15966
92,"техношин   автозапчасть  отечественный автомобиль 
",1,0,16893
93,"колесо зубчатый раздаточный коробка ваз 2121  чертеж   74  список деталь  стоимость запчасть  
",1,0,17081
94,"подшипник 6306   youtube 
",1,0,16657
95,"innovate 3740 сетевой адаптер  прикуриватель lm 1   интернет   магазин shop tuning  
",1,0,16279
96,"объявление   дзержинск рф   главный портал город дзержинск нижегородский область 
",1,0,15156
97,"замена ремень  цепь грм  автомобиль   смотреть  видео  zamenagrm  
",1,0,16184
98,"ваз 2121 замена подшипник ступица 
",1,1,17050
99,"малолитражка  характер вездеход   моделист конструктор 
",1,0,15734
100,"ваз 2112 ремонт свой рука передний мост  ремонт ваз свой рука  remontysvoimirukami  
",1,0,16407
101,"пежо 308 замена датчик давление масло 
",1,0,14929
