,text,group_id
0,товар 2121 цена купить ступица нива подшипник ваз товары сырьевой товар стоимость ставка приобрести взять втулка область пашня опора жигули ,1
1,народный здоровье кашель ларингит лечение национальный всенародный самочувствие здравоохранение сухой кашель терапия ,2
2,онлайн ттг день цикл коммуникация сдавать p п сутки выходной день цикла круговорот общение связь проходить слабеть ,3
3,пиф инвестиционный фонд деньги инвестиция вкладывать фонд актив бумага денежки наличные вложение инвестировать класть ,4
4,торрент санандрес скин карта самп vice city мода sa сервер онлайн игра 4 andreas san андреас сан код скачать 5 гта gta вице циты са андреас сан гта шкура схема меню стиль манера сервак суперсервер games покер чин id шифр загрузить качнуть заместитель чин ,5
5,выбирать пол фото должный длина штора подбирать решать паркет половина фотография надлежащий необходимый протяженность длительность занавеска ,6
6,народный причина почка лечение вода пить национальный всенародный повод первопричина бутон терапия влага водоем выпивать бухать ,7
7,ринит аллергический ребенок аллергия насморк лечение насморк воспаление малыш дитя реакция нетерпимость простуда сопли терапия ,8
8,время легкое лечиться сколько лечение туберкулез момент период столько как много терапия болезнь волчанка ,9
9,andreas 1 5 код кс прицел gta go гта cs андреас гта го цс id шифр целик зрение га гра ,10
10,батарейка ноутбук архив форум страница компьютер аккумулятор нетбук файл библиотека конференция лист веха комп ноутбук ,11
11,панель инструкция компьютер подключение передний p п пульт плита руководство указание комп ноутбук подсоединение включение фронтальный головной ,12
12,создавать сервер майнкрафт minecraft варп минецрафт генерировать творить сервак суперсервер ,13
13,останавливаться отель турция стамбул icon set simple new2 new ицон сет симпле неw2 неw стоять тормозить гостиница константинополь истанбул партия ,14
14,2 форум пч мед пчела конференция медик медовый напиток пчелиный рой ,15
15,народный ребенок лямблиоз лечение лямблия национальный всенародный малыш дитя терапия ,16
16,мастер свой рука сделать бумага ромашка учитель художник этот ладонь лапа создать составить картон облигация маргаритка ,17
17,блюдо вкусный манта фото соус рецепт кушанье еда очень вкусный фотография майонез приправа кулинарный рецепт способ ,18
18,клуб двигатель мощность страница форум архив спортклуб дискотека мотор серводвигатель производительность емкость лист веха конференция файл библиотека ,19
19,4 смартфон андроид android прошивка meizu андроид меизу коммуникатор дроид вставка сшивка дроид ,20
20,usb 7 сделать youtube windows загрузочный флешка усб ыоутубе wиндоwс флэшка создать составить погрузочный флэшка ,21
21,народный средство огород избавляться муравей национальный всенародный лекарство способ сад муравьишка ,22
22,письмо это московский untitled дти document асц унтитлед доцумент сообщение письмецо такой столичный ,23
23,мужчина icon понимать парень нравиться ицон молодой человек мужик знать осознавать мальчик чувак любить радовать глаз ,24
24,загорать посещать ходить часто солярий темнеть навещать ходить гулять идти нередко постоянно площадка аэросолярий ,25
25,рецепт раствор условие домашний сделать пузырь мыльный кулинарный рецепт способ смесь цементный раствор понятие требование семейный самодельный создать составить мочевой пузырь мыльный пузырь ,26
26,магазин продажа ципер медилис средство цена казань купить супермаркет лавка распродажа торг лекарство способ стоимость ставка порт приобрести взять ,27
27,новость patrol infiniti форум купить nissan автомобиль авто патрол инфинити ниссан весть информация конференция приобрести взять авто легковой автомобиль автомобиль ,28
28,год налог ндфл работник новость налоговый годок ндс налогообложение сотрудник труженик весть информация ,29
29,продавать архив сделать рука форум свой торговать реализовывать файл библиотека создать составить ладонь лапа конференция этот ,30
30,работа человек форум вещь умерший римский право деятельность вакансия один человек чел конференция штука предмет погибший покойный романский законодательство разрешение ,31
31,книга архив мышь делать форум издание бестселлер файл библиотека полевка нетопырь заниматься выполнять конференция ,32
32,соус приготавливать фото рецепт гуакамола майонез приправа приготовлять фотография кулинарный рецепт способ ,33
33,афиша отдых пойти ребенок сходить самара реклама плакат досуг отпуск сходить уйти малыш дитя пойти отправиться самар порт ,34
34,страница телефон номер гта gta онлайн 5 гта лист веха мобильный телефон номер комната пункт ,35
35,теплица делать жировать томат помидор оранжерея заниматься выполнять жиреть помидор томат ,36
36,компьютер поставлять ставить значок напечатать клавиша символ знак клавиатура комп ноутбук завозить предоставлять устанавливать класть иконка жетон отпечатать опубликовать кнопка знак изображение символ жест клавиши клавишная панель ,37
37,свойство дневник полезный применение лечение календула особенность признак журнал ежедневник ценный удобный использование практика терапия ,38
38,контакт скачать нокиа 520 телефон lumia nokia лумиа нокиа связь геркон загрузить качнуть мобильный телефон номер ,39
39,форум собака казахстан кызылорд новость конференция пес сучка республика казахстан весть информация ,40
40,учреждение школа экстернат устав закон образование заведение организация лицей класс регламент статут законодательство указ обучение формирование ,41
41,похудение похудеть средство народный условие домашний потерять в весе спустить лекарство способ национальный всенародный понятие требование семейный самодельный ,42
42,скачать san andreas гта форум gta iphone сан андреас гта ипхоне загрузить качнуть конференция чин ,43
43,тема лист office ms работа microsoft excel оффице мс мицрософт еxцел раздел вопрос страница листовой прокат деятельность вакансия майкрософт рассеянный склероз ,44
44,солить рецепт рыба сделать вобла засаливать вредить кулинарный рецепт способ рыбешка живец создать составить плотва рыба ,45
45,тип дневник п открывать хотеть форум вид стиль журнал ежедневник вскрывать начинать любить желать конференция ,46
46,эмили страница онлайн кукла девочка мама видео лист веха куколка манекен девушка мать мамуля видео видео ,47
47,мочь оргазм видео женщина девушка кончать уметь возможность видео видео жена женщины девочка подруга заканчивать прекращать ,48
48,быстро понижать условие домашний кровь снижать холестерин стремительно вскоре снижать угнетать понятие требование семейный самодельный кровища жизнь уменьшать уменьшаться ,49
49,мариновать мясо рецепт свинина замариновывать шашлык засаливать фарш дичь кулинарный рецепт способ буженина кебаб ,50
50,дневник читать журнал литературный литература русский пушкин журнал ежедневник почитать просматривать дневник тележурнал писательский беллетристический словесность библиография русский язык российский ,51
51,вакансия пример составлять образец работа резюме работа вакантная должность образец иллюстрация делать формировать пример шаблон деятельность вакансия аннотация краткое изложение ,52
52,находиться кнопка backspace клавиатура бацкспаце располагаться быть клавиша интерфейс клавиши клавишная панель ,53
53,посадка выращивание год материк сколько земля высадка рассадка возделывание годок континент суша столько как много почва территория ,54
54,правило гибдд новость форум штраф пдд нарушение норма положение весть информация конференция наказание пеня несоблюдение расстройство ,55
55,магия это форум лечение аппликация парафиновый колдовство оккультизм такой конференция терапия вышивка ,56
56,лекарство профилактика болезнь лечение препарат кролик препарат снадобье предотвращение профилактический ремонт заболевание боль терапия лекарственный препарат лекарство ,57
57,друг добавлять форум новость 1 область регион вносить приятель дружище прибавлять вводить конференция весть информация регион сфера область вводить приносить ,58
58,дневник проза форум лунный книга день журнал ежедневник беллетристика обыденность конференция месячный издание бестселлер сутки выходной день ,59
59,средство дом квартира избавляться паук лекарство способ дома квартира дом хата ,60
60,новость страница архив болгария форум виза весть информация лист веха файл библиотека нрб конференция мультивиза ,61
61,village ice age скачать игра виллаге ице аге загрузить качнуть games покер ,62
62,диссертация библиотека платежный форум поручение год право научная работа архив комната конференция распоряжение указание годок законодательство разрешение ,63
63,бесплатно песня челентано слушать mp3 онлайн скачать мп3 безвозмездно на халяву романс стихотворение слышать прослушивать загрузить качнуть ,64
64,магазин прикольный майка мужской купить футболка супермаркет лавка клевый забавный рубашка жилет мужеский сильный приобрести взять рубашка ,65
65,страница российский религия дневник онлайн форум чили p п лист веха русский вероисповедание журнал ежедневник конференция перец чили страна ,66
66,форум слово проститутка шлюха конференция слова выражение шлюха куртизанка проститутка шлюшка ,67
67,2016 сегодня луна день год календарь лунный сейчас сегодняшний день лунный свет полумесяц сутки выходной день годок расписание ежедневник месячный ,68
68,рука свой рыбалка сделать поводок ладонь лапа этот ловля рыбный промысел создать составить ремень ,69
69,скачать создавать майнкрафт 1 minecraft сервер минецрафт загрузить качнуть генерировать творить сервак суперсервер ,70
70,цоколь фундамент обшивка профнастил профлист обшивать дом подвал постамент подвал основание облицовка обивка настил покрывать дома квартира ,71
71,ванная дневник ремонт форум шов плитка санузел журнал ежедневник капитальный ремонт обслуживание конференция стежок стык черепица электроплита ,72
72,год minecraft магазин сделать табличка время наш глава idxskip p минецрафт идxскип п годок супермаркет лавка создать составить этикетка момент период руководитель голова ,73
73,научный библиотека новость капитал российский право исследовательский ученый архив комната весть информация собственный капитал актив русский законодательство разрешение ,74
74,вымирать россия тема архив быдло форум отмирать раздел вопрос файл библиотека стадо подонки конференция ,75
75,курс 2000 стоить россия сколько год доллар учебный курс ставка обходиться столько как много годок бакс зеленый ,76
76,пошаговый приготовление фото блюдо приготавливать рецепт кабачок поэтапный готовка подготовка фотография кушанье еда приготовлять кулинарный рецепт способ цукини ресторанчик ,77
77,симптом медицинский определять форум гинеколог беременность признак лечебный оценивать идентифицировать конференция акушер вынашивание ,78
78,5 гта скачать игра 4 симс 3 sims симс загрузить качнуть games покер ,79
79,год огурец возраст давать помидор ребенок годок корнишон дыня взрослый старость не давать позволять томат малыш дитя ,80
80,правда здоровье гормон женский пиво p п хотя действительно самочувствие здравоохранение тестостерон гонадотропин дамский питье балтика ,81
81,4 x гта xbox 360 игра скачать x xбоx games покер загрузить качнуть ,82
82,сайт радиолюбительский радио слушать интернет радиолюбитель портал радиостанция слышать прослушивать веб всемирная паутина ,83
83,лист онлайн сервис liveinternet российский дневник ливеинтернет страница листовой прокат обслуживание русский журнал ежедневник ,84
84,бесплатно онлайн смотреть фильм 2014 звать безвозмездно на халяву глядеть видеть кинофильм триллер называть приглашать ,85
85,год крутой 10 топ мир хороший самый сериал годок клевый крут вершина планета свет отличный лучший очень настоящий телесериал ,86
86,местность ориентироваться пользоваться ориентирование компас территория район понимать использовать наслаждаться нацеливание радиокомпас ,87
87,программа 2015 2 год доу работа санпин сад детский приложение прога годок мера деятельность вакансия детский сад огород ребяческий малолетний ,88
88,прописываться архив прописка страница форум квартира файл библиотека жительство лист веха конференция дом хата ,89
89,скачать 2 kung мультфильм онлайн фу панда кунг кунг загрузить качнуть мультипликационный фильм фильм фи вот так так ,90
90,словарь определение слово значение вердикт глоссарий лексикон оценки решение слова выражение величина смысл приговор ,91
91,онлайн российский 4 телеграмма книга дневник группа русский депеша каблограмма издание бестселлер журнал ежедневник команда организация ,92
92,неприятный причина тело дневник форум запах отвратительный болезненный повод первопричина труп останки журнал ежедневник конференция аромат вонь ,93
93,дневник день похудеть диета сколько калория журнал ежедневник сутки выходной день потерять в весе спустить рацион режим столько как много ,94
94,15 год сказка ребенок форум читать книга годок сказки басня малыш дитя конференция почитать просматривать издание бестселлер ,95
95,новость кормилец социальный обеспечение 1 пенсионный год пенсия весть информация добытчик благодетель общественный обслуживание предоставление годок пенсионный возраст обеспечение ,96
96,онлайн шишка убирать палец косточка нога выпуклость нарост чистить удалять пальчик перст ямка семя лапа костыль ,97
97,условие выбирать приготавливать рецепт правильно лимон понятие требование подбирать решать приготовлять кулинарный рецепт способ верно грамотно цитрон миллион ,98
98,установка 3 устанавливать симс дополнение sims 4 симс монтаж настройка ставить монтировать приложение прибавление ,99
99,вещь брать icon нужно взять поход ицон штука предмет покупать принимать забрать получить путешествие крестовый поход ,100
100,youtube биография сколько юрий хованский ыоутубе история жизнеописание столько как много ,101
101,слушать mp3 бесплатно музыка bad онлайн скачать песня мп3 бад слышать прослушивать безвозмездно на халяву мелодия поп загрузить качнуть романс стихотворение ,102
102,русский форум самостоятельно новость турция история русский язык российский конференция независимо сам весть информация рассказ хронология ,103
103,медицинский форум вопрос симптом лечение лечебный конференция проблема вопросец признак терапия ,104
104,новый russia область организация вид код оквэд деятельность руссиа совершенно новый современный регион сфера учреждение ассоциация тип внешний вид id шифр работа активность ,105
105,применение червь креолин животное инструкция собака использование практика глист опарыш существо скот руководство указание пес сучка ,106
106,брюки стирка сервис онлайн форум дневник штаны шаровары мытье обслуживание конференция журнал ежедневник ,107
107,родитель опрос ребенок создавать форма анкета отец анкетирование голосование малыш дитя генерировать творить вид бланк заявка опросный лист ,108
108,слушать онлайн песня бесплатно mp3 artik asti скачать мп3 артик асти слышать прослушивать романс стихотворение безвозмездно на халяву загрузить качнуть вино ,109
109,евро доллар беларусь сегодня минск банк курс курсы валюта бакс зеленый сейчас сегодняшний день столица менеск сбербанк центробанк учебный курс ставка цена евровалюта ,110
110,ярославль отзыв достопримечательность великий ростов область ярославский комментарий обзор архитектурный памятник знаменитость славный знаменитый ростовская город регион сфера ,111
111,v бесплатно power программа 0 видео cyberlink скачать в поwер цыберлинк безвозмездно на халяву приложение прога видео видео загрузить качнуть на ,112
112,онлайн дневник skype форум скайп архив скыпе журнал ежедневник конференция файл библиотека ,113
113,7 программа бирюк тургенев класс русский литература приложение прога урок категория русский язык российский словесность библиография ,114
114,бесплатно компьютер ютуб видео скачать youtube ыоутубе безвозмездно на халяву комп ноутбук видео видео загрузить качнуть ,115
115,архив youtube 2 сделать стрим страница форум ыоутубе файл библиотека создать составить лист веха конференция ,116
116,отзыв молоко архив страница форум комментарий обзор сок обрат файл библиотека лист веха конференция ,117
117,образец новый документ оформлять оформление загранпаспорт пример шаблон совершенно новый современный паспорт протокол рисовать регистрация дизайн паспорт ,118
118,интернет оставаться сколько остаток узнавать трафик мтс веб всемирная паутина находиться терять столько как много баланс излишек знать учиться траффик движение ,119
119,польза полезный сколько калория калорийность дыня выгода эффект ценный удобный столько как много питательность тепловой коэффициент арбуз фрукт ,120
120,народный условие лечение домашний пяточный шпора национальный всенародный понятие требование терапия семейный самодельный выступ ,121
121,медицинский лечение отзыв бета применение препарат инструкция лечебный терапия комментарий обзор beta использование практика лекарственный препарат лекарство руководство указание ,122
122,аквариумный рыбка ответ почему зеленеть вода аквариум рыбешка отклик отзыв зачем поэтому влага водоем океанариум круглый аквариум ,123
123,ребенок день достопримечательность посмотреть санкт петербург малыш дитя сутки выходной день архитектурный памятник знаменитость увидеть глянуть питер ,124
124,продавать купить форум отопление квартира дом торговать реализовывать приобрести взять конференция теплоснабжение обогрев дом хата дома квартира ,125
125,магия вампиризм защита защищаться энергетический вампир колдовство оккультизм безопасность оборона упырь кровосос ,126
126,расшифровка общий причина ребенок норма анализ кровь дешифровка дешифрация суммарный полный повод первопричина малыш дитя правило стандарт исследование разбор кровища жизнь ,127
127,человек съедать похудеть нужно день сколько калория один человек чел кушать потреблять потерять в весе спустить сутки выходной день столько как много ,128
128,посмотреть страница новость статистика инстаграм увидеть глянуть лист веха весть информация статистический учет ,129
